EDGE_ID	SOURCE_SYSTEM	TARGET_SYSTEM	EDGE_TYPE	TRANSPORT	DATA	IDENTITY	AUTHORITY	MUTATION	EVIDENCE	CONFIDENCE	SOURCE_REFERENCE
EDGE-001	SYS-001	SYS-002	AUTHORIZES	human/sudo	privileged qualification start	human	human privilege	true	golden_boot preflight	HIGH	scripts/operator/golden_boot.sh
EDGE-002	SYS-002	SYS-003	DEPLOYS	Make/shell	clean Kind cluster	kubeconfig	cluster admin	true	Golden Boot call graph	HIGH	scripts/operator/golden_boot.sh
EDGE-003	SYS-002	SYS-004	CALLS	Make/shell	validate-all-full-reset	human	scheduler	true	Make -n	HIGH	Makefile
EDGE-004	SYS-004	SYS-005	RECONCILES	Docker/CoreDNS	registry listener and name resolution	host/root	bootstrap	true	registry probes	HIGH	scripts/infra/harden_local_registry.sh
EDGE-005	SYS-004	SYS-006	CALLS	shell/docker	build/preload	human	bootstrap	true	preload summary	HIGH	scripts/infra/bootstrap.sh
EDGE-006	SYS-006	SYS-005	BUILDS	OCI Registry API	images/manifests	registry auth	build authority	true	registry inventory	HIGH	scripts/infra/preload_registry.sh
EDGE-007	SYS-007	SYS-006	AUTHORIZES	JSON/source	required image set	Git source	inventory authority	false	inventory tests	HIGH	platform/config/canonical_image_inventory.json
EDGE-008	SYS-008	SYS-005	SIGNS	cosign/OCI	signed references	cosign key	signing authority	true	signature cache	HIGH	scripts/infra/sign_images.sh
EDGE-009	SYS-005	SYS-016	READS	HTTPS Registry API	manifest/signature	registry auth+CA	verification input	false	Kyverno probe	HIGH	platform/policy/kyverno
EDGE-010	SYS-004	SYS-009	DEPLOYS	kubectl/helm	SPIRE server	cluster admin	bootstrap	true	rollout	HIGH	platform/deploy/infra/spire
EDGE-011	SYS-004	SYS-010	DEPLOYS	kubectl/helm	SPIRE agent	cluster admin	bootstrap	true	rollout	HIGH	platform/deploy/infra/spire
EDGE-012	SYS-011	SYS-009	REGISTERS	SPIRE CLI/socket	workload entries	SPIRE server admin	registration authority	true	entry list	HIGH	scripts/proof/reconcile_spire_entries.sh
EDGE-013	SYS-009	SYS-010	ATTESTS	SPIRE protocol	node identity/bundle	PSAT	SPIRE identity	true	agent health	HIGH	spire config
EDGE-014	SYS-010	SYS-014	ISSUES_IDENTITY	Workload API/socket	Envoy SVID	SPIFFE selectors	SPIRE authority	false	Envoy cert evidence	HIGH	SPIRE entries
EDGE-015	SYS-009	SYS-013	ISSUES_IDENTITY	SPIRE Workload API	CSR signer identity/root	SPIFFE	SPIRE authority	true	root fingerprints	HIGH	refresh_spire_istio_ca_path.sh
EDGE-016	SYS-013	SYS-014	ISSUES_IDENTITY	Kubernetes CSR/gRPC	Istio workload certs	spire-csr SVID	CA bridge	true	identity chain	HIGH	platform/identity/spire-csr
EDGE-017	SYS-012	SYS-013	RECONCILES	files/Kubernetes API	active/bundle trust roots	SPIRE root	trust producer	true	root lifecycle artifact	HIGH	scripts/infra/refresh_spire_istio_ca_path.sh
EDGE-018	SYS-014	SYS-019	AUTHENTICATES	mTLS/XFCC	URI SAN	Envoy peer identity	transport authority	false	XFCC hostile tests	HIGH	platform/runtime/api/identity_deps.py
EDGE-019	SYS-019	SYS-020	AUTHORIZES	SMP envelope	IdentityContext/capabilities	attested app identity	application governance	false	API tests	HIGH	platform/runtime/api/router_api.py
EDGE-020	SYS-020	SYS-022	EMITS	Python call	governed operator event	validated runtime identity	ledger required	true	ledger tests	HIGH	platform/runtime/ai/operator_core.py
EDGE-021	SYS-020	SYS-021	CALLS	Python call	approved plan	IdentityContext	default-deny gates	true	actuator tests	MEDIUM	platform/runtime/ai/operator_core.py
EDGE-022	SYS-021	SYS-001	MUTATES	subprocess argv	host commands	process identity	explicit gates	true	static code only	MEDIUM	platform/runtime/actuator/actuator_plane.py
EDGE-023	SYS-018	SYS-020	CALLS	Python	vector envelope	XFCC-derived identity	application	false	focused tests	HIGH	platform/runtime/api/router_api.py
EDGE-024	SYS-020	SYS-047	CALLS	Python/backend protocol	vector operation	application identity	governed handler	true	unit tests	MEDIUM	platform/runtime/ai/operator_core.py
EDGE-025	SYS-024	SYS-022	STORES	PostgreSQL	operator ledger events	database credentials	database	true	integration tests	MEDIUM	platform/runtime/ledger/postgres_writer.py
EDGE-026	SYS-025	SYS-041	READS	ClickHouse SQL	analytical projections	DB credential	analytical only	true	qualified demo logs	HIGH	scripts/make/civ.mk
EDGE-027	SYS-042	SYS-021	DENIES	architectural boundary	dormant intent	none	no execution authority	false	boundary tests	HIGH	platform/runtime/civ
EDGE-028	SYS-041	SYS-042	ROUTES	conceptual only	CIV name/analytical theme	n/a	none	false	source comparison	HIGH	scripts/make/civ.mk
EDGE-029	SYS-003	SYS-015	ENFORCES	Kubernetes API/CNI	RBAC/network policy	ServiceAccount	Kubernetes	false	live objects	HIGH	kubectl get
