SYSTEM_ID,NAME,PURPOSE,CLASSIFICATION,STATUS,SOURCE_ROOTS,ENTRYPOINTS,RUNTIME_REACHABILITY,RUNTIME_IDENTITY,AUTHORITY_LEVEL,MUTATION_CAPABILITY,STATE_OWNED,STATE_CONSUMED,PRODUCERS,CONSUMERS,UPSTREAM_DEPENDENCIES,DOWNSTREAM_DEPENDENCIES,NETWORK_BOUNDARY,TRUST_BOUNDARY,INPUTS,OUTPUTS,EVIDENCE_PRODUCED,EVIDENCE_CONSUMED,OBSERVABILITY,FAILURE_MODES,FAIL_CLOSED_BEHAVIOR,RECOVERY_OWNER,TEST_COVERAGE,DYNAMIC_VALIDATION,DOCUMENTATION,KNOWN_LIMITATIONS,HISTORICAL_ORIGIN,CANONICALITY_CONFIDENCE,BUILD_ON_VALUE,NOTES,SUPPORT_TIER,QUALIFICATION_SCOPE,REACHED_BY_SUPPORTED_V1_PATH
SYS-001,Host/native contract,"Establish supported host architecture, tools, trust, and privilege boundaries.",CANONICAL_HOST_INFRA,LIVE,Makefile; scripts/infra; scripts/verify/verify_native_host_contract.sh,make native-host-contract-verify,Host execution on threadforge,Human operator + sudo boundary,Host mutation authority,"Docker trust, /etc/hosts/CA, tools",Host trust and local tool state,"Linux/arm64, Docker, sudo",Makefile; scripts/infra; scripts/verify/verify_native_host_contract.sh,Kind/bootstrap/registry,"Linux/arm64, Docker, sudo",Kind/bootstrap/registry,See 13_NETWORK_AND_TRUST_ATLAS.md,Host mutation authority,"Linux/arm64, Docker, sudo",Kind/bootstrap/registry,Golden Boot host-contract logs,"proof/status, logs, runtime state as applicable",Golden Boot host-contract logs,Missing host trust blocks bootstrap,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Human operator and infra scripts,Structural and Golden Boot,Golden Boot host-contract logs,See repository roots and atlas cross-references,Single host; sudo is human-held,Native Kind convergence era,HIGH,HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-002,Golden Boot qualification,Destructively reconstruct and qualify the reference environment from clean source.,CANONICAL_ASSURANCE,QUALIFIED_EXACT_SHA_2026_08_28,scripts/operator/golden_boot.sh; Makefile,make golden-boot,Operator initiated; not continuously running,Human operator,Release qualification scheduler,Cluster reset and full bootstrap,Golden Boot run artifacts,"clean worktree, host contract",scripts/operator/golden_boot.sh; Makefile,all canonical native systems,"clean worktree, host contract",all canonical native systems,See 13_NETWORK_AND_TRUST_ATLAS.md,Release qualification scheduler,"clean worktree, host contract",all canonical native systems,phase markers and final PASS,"proof/status, logs, runtime state as applicable",phase markers and final PASS,Any stage failure blocks qualification,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Owning stage producer,Golden Boot contract tests,phase markers and final PASS,See repository roots and atlas cross-references,"Expensive, destructive, single host",2026 native qualification,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-003,Kind cluster lifecycle,Own disposable Kubernetes control-plane lifecycle.,CANONICAL_BOOTSTRAP,LIVE,scripts/kind; platform/deploy/infra/kind; scripts/make/k3.mk,make k3-install; validate-all-full-reset,"Live kind-threadforge, one node",Kubernetes admin kubeconfig,Cluster lifecycle authority,"Create/delete cluster, node config",Kind node/container state,"Docker, host trust",scripts/kind; platform/deploy/infra/kind; scripts/make/k3.mk,bootstrap and workloads,"Docker, host trust",bootstrap and workloads,See 13_NETWORK_AND_TRUST_ATLAS.md,Cluster lifecycle authority,"Docker, host trust",bootstrap and workloads,kubectl node evidence,"proof/status, logs, runtime state as applicable",kubectl node evidence,API outage blocks all reconciliation,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Kind/bootstrap scripts,Bootstrap and proof,kubectl node evidence,See repository roots and atlas cross-references,Single control-plane; local-path storage,K3-to-Kind migration,HIGH,HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-004,Bootstrap reconciler,"Converge registry, identity, mesh, policy, data, and observability in producer order.",CANONICAL_BOOTSTRAP,LIVE,scripts/bootstrap.sh; scripts/infra/bootstrap.sh; scripts/make/infra.mk,make infra-bootstrap,Operator initiated; mutates live cluster,Kubernetes admin,Producer authority for cluster state,kubectl/helm/create/patch/rollout,Generated cluster resources,"host, registry, Kind",scripts/bootstrap.sh; scripts/infra/bootstrap.sh; scripts/make/infra.mk,all live control and data planes,"host, registry, Kind",all live control and data planes,See 13_NETWORK_AND_TRUST_ATLAS.md,Producer authority for cluster state,"host, registry, Kind",all live control and data planes,bootstrap logs and readiness markers,"proof/status, logs, runtime state as applicable",bootstrap logs and readiness markers,First producer failure stops convergence,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Owning bootstrap helper,Extensive static/focused/Golden Boot,bootstrap logs and readiness markers,See repository roots and atlas cross-references,Large shell graph; host coupled,Current convergence architecture,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-005,Local registry and TLS,Provide authenticated internal OCI distribution with hostname-preserving trust.,CANONICAL_SUPPLY_CHAIN,LIVE_HOST_CONTAINER,scripts/infra/harden_local_registry.sh; platform/registry; scripts/lib/registry_network.sh,bootstrap registry stages; registry probes,Host Docker container plus cluster DNS route,"registry.threadforge.local, basic auth, CA trust","Artifact distribution authority, not signing authority",Registry push/read; CoreDNS reconciliation,"OCI blobs/manifests, htpasswd, TLS","host Docker, CA, credentials",scripts/infra/harden_local_registry.sh; platform/registry; scripts/lib/registry_network.sh,"builder, Kyverno, kubelet, proof","host Docker, CA, credentials","builder, Kyverno, kubelet, proof",See 13_NETWORK_AND_TRUST_ATLAS.md,"Artifact distribution authority, not signing authority","host Docker, CA, credentials","builder, Kyverno, kubelet, proof",401 unauthenticated/200 authenticated probes,"proof/status, logs, runtime state as applicable",401 unauthenticated/200 authenticated probes,Unavailable blocks preload/admission verification,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Registry hardening producer,Focused registry and Golden Boot,401 unauthenticated/200 authenticated probes,See repository roots and atlas cross-references,"Host-local, non-HA",Local secure registry evolution,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-006,Image builder/preloader,Build linux/arm64 images and populate the internal registry.,CANONICAL_SUPPLY_CHAIN,OPERATOR_INITIATED,platform/images; scripts/build; scripts/infra/preload_registry.sh,make images; preload stages,Host only,Human operator/buildx builder,Build authority only on trusted host,"docker buildx, skopeo copy",Local image archives and OCI manifests,"source, Dockerfiles, base images",platform/images; scripts/build; scripts/infra/preload_registry.sh,registry and pinning,"source, Dockerfiles, base images",registry and pinning,See 13_NETWORK_AND_TRUST_ATLAS.md,Build authority only on trusted host,"source, Dockerfiles, base images",registry and pinning,build/preload summaries,"proof/status, logs, runtime state as applicable",build/preload summaries,Incomplete build set fails closed,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Build/preload scripts,Inventory and completeness tests,build/preload summaries,See repository roots and atlas cross-references,Network/base-image dependencies,Build pipeline consolidation,HIGH,HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-007,Canonical image inventory and pin map,Define required image set and approved digest aliases.,CANONICAL_SUPPLY_CHAIN,LIVE_SOURCE_AUTHORITY,platform/config/canonical_image_inventory.json; platform/config/image_pin_map.json; scripts/infra/pin_runtime_images.sh,bootstrap pinning; registry completeness,Source-driven and runtime-consumed,Git source authority,Canonical image-set authority,Generate/reconcile digest-bearing manifests,"Inventory, pin map, cache metadata",source manifests and registry,platform/config/canonical_image_inventory.json; platform/config/image_pin_map.json; scripts/infra/pin_runtime_images.sh,"bootstrap, Kyverno, runtime drift, proof",source manifests and registry,"bootstrap, Kyverno, runtime drift, proof",See 13_NETWORK_AND_TRUST_ATLAS.md,Canonical image-set authority,source manifests and registry,"bootstrap, Kyverno, runtime drift, proof",63 inventory entries; 60 unique digest proof set,"proof/status, logs, runtime state as applicable",63 inventory entries; 60 unique digest proof set,Unknown/missing aliases rejected,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Inventory/pinning producers,Focused pin/cache/completeness tests,63 inventory entries; 60 unique digest proof set,See repository roots and atlas cross-references,Aliases require explicit reconciliation,Supply-chain hardening,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-008,Cosign/Rekor signing,Sign and verify approved OCI references and selected evidence.,CANONICAL_SUPPLY_CHAIN,LIVE_OPERATOR_PATH,scripts/infra/sign_images.sh; scripts/verify/verify_signatures.sh; platform/supply-chain,bootstrap/signature verification,Host tools and remote transparency service,Cosign key identity; Rekor endpoint,Signature production and verification,cosign sign/verify,"OCI signatures, bundles, verification cache","registry, signing key, Rekor",scripts/infra/sign_images.sh; scripts/verify/verify_signatures.sh; platform/supply-chain,"Kyverno, proof, registry audit","registry, signing key, Rekor","Kyverno, proof, registry audit",See 13_NETWORK_AND_TRUST_ATLAS.md,Signature production and verification,"registry, signing key, Rekor","Kyverno, proof, registry audit",signature cache and proof logs,"proof/status, logs, runtime state as applicable",signature cache and proof logs,Missing key/Rekor can block signing/verification,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Supply-chain scripts/human key owner,Signature tests and Golden Boot,signature cache and proof logs,See repository roots and atlas cross-references,Key is host-local; Rekor externally dependent,Sigstore integration,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-009,SPIRE server,"Own workload trust domain, CA state, entries, and SVID issuance.",CANONICAL_IDENTITY,LIVE,platform/identity/spire/server; platform/deploy/infra/spire,bootstrap SPIRE install,StatefulSet spire-server-0,spiffe://identity.threadforge.local/spire/server,Root/issuance identity authority,Issue SVIDs; manage entries via CLI,"CA keys, bundle, sqlite on PVC","persistent datastore, registration declarations",platform/identity/spire/server; platform/deploy/infra/spire,"agents, CSR, proof","persistent datastore, registration declarations","agents, CSR, proof",spiffe://identity.threadforge.local/spire/server,Root/issuance identity authority,"persistent datastore, registration declarations","agents, CSR, proof",bundle/entry/health evidence,"proof/status, logs, runtime state as applicable",bundle/entry/health evidence,Outage stops new/renewed SVIDs; existing certs bounded by TTL,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,SPIRE lifecycle/bootstrap,"Outage proof, identity chain, Golden Boot",bundle/entry/health evidence,See repository roots and atlas cross-references,Single replica and local PVC,Identity-first architecture,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-010,SPIRE agent and node attestation,Attest Kind node and expose Workload API to eligible pods.,CANONICAL_IDENTITY,LIVE,platform/identity/spire/agent; platform/deploy/infra/spire,DaemonSet bootstrap,DaemonSet on one node,spiffe://identity.threadforge.local/spire/agent/k8s_psat/threadforge/*,Node/workload attestation mediator,Workload API socket and SVID delivery,Node attestation and socket state,Kubernetes PSAT and SPIRE server,platform/identity/spire/agent; platform/deploy/infra/spire,"workloads, Envoy, application identity",Kubernetes PSAT and SPIRE server,"workloads, Envoy, application identity",spiffe://identity.threadforge.local/spire/agent/k8s_psat/threadforge/*,Node/workload attestation mediator,Kubernetes PSAT and SPIRE server,"workloads, Envoy, application identity",agent health and SVID fetch checks,"proof/status, logs, runtime state as applicable",agent health and SVID fetch checks,Agent outage blocks renewal/new identity,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,SPIRE bootstrap,Outage and identity tests,agent health and SVID fetch checks,See repository roots and atlas cross-references,skip_kubelet_verification and container selectors disabled in current config,SPIRE Kubernetes integration,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
